Velocity, Distance, Lift
452.52689427, 0.75550201, -0.38604967
684.21052600, 0.50000000, 0.28122697
107.89473700, 0.66447368, 0.04460084
339.89603531, 0.73624648, -0.27157715
356.79012265, 0.71900043, -0.31992388
348.21312462, 0.75319472, -0.18472662
327.25795845, 0.72439151, -0.33083648
331.21074180, 0.70523112, -0.36508440
329.23435012, 0.71481132, -0.35483254
349.28524975, 0.80566385, -0.09459580
339.40870657, 0.81267598, -0.10173023
311.40350908, 0.84850146, -0.11352921
329.38596504, 0.84749635, -0.12271806
384.21052750, 0.99342105, -0.16044816
405.26315900, 0.99853801, -0.21874722
307.01754533, 0.99805068, -0.10391987
370.17543983, 0.99585770, -0.13990765
250.87719467, 0.99902534, 0.16867747
222.80701933, 0.99951267, 0.08746113
274.26900744, 0.99935023, 0.10568949
123.68421100, 1.00000000, 0.06281530
297.66081872, 0.97335932, -0.07102273
230.60429026, 0.99962097, 0.11356040
132.45614100, 0.93859649, 0.06687444
290.64327639, 0.99870045, -0.00983628
123.00194963, 0.86021767, 0.07074211
412.28070283, 0.98854776, -0.25202141
220.35954258, 0.85096744, 0.08803350
225.20034727, 0.80362090, 0.10888648
109.86842087, 0.50328947, -0.06898469
205.70175375, 0.58114035, 0.00221283
414.47368475, 0.89144737, -0.35675254
100.00000000, 0.94736842, 0.06078922
262.57310106, 0.99918778, 0.15897764
442.10526400, 0.64912281, -0.30288411
248.09801054, 0.68696525, 0.17350186
240.44346252, 0.67429160, 0.16786039
318.84340331, 0.74501841, -0.21740189
303.11890857, 0.83548571, -0.08090510
700.00000000, 0.64473684, 0.06401219
288.04418455, 0.81685889, 0.02176724
261.39538671, 0.80158670, 0.20265700
158.18713567, 0.97953216, 0.05395071
467.54386067, 0.58918129, -0.14326248
250.55591552, 0.72841499, 0.19941012
262.78277027, 0.74611901, 0.18701685
256.66934290, 0.73726700, 0.19908651
178.94736750, 0.51315789, -0.08081766
205.28752460, 0.65653174, 0.03267453
500.19493352, 0.87410656, -0.28725235
118.52664083, 0.69233014, 0.05135474
474.99999850, 0.50657895, 0.00784978
472.80701567, 0.50146199, 0.00693874
389.66861715, 0.99978341, -0.17341943
403.65497169, 0.95780539, -0.25981676
403.70370426, 0.90930258, -0.29523921
409.08869450, 0.90037497, -0.32749622
433.38612823, 0.86405201, -0.41727497
450.46499470, 0.86221606, -0.39779754
418.21664549, 0.83092489, -0.39903780
401.21358574, 0.82335718, -0.30797509
